"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"A1BG",7.85545286464709,11.2041260448537,10.2459938400009,4.50050653397639,5.97562818390034,3.58251245817425,9.83770006413362,6.36831794981562
"A1BG-AS1",37.3134011070737,53.7798050152976,38.4224769000033,66.0074291649871,18.7805457208297,26.5105921904895,48.0954225357644,58.3762478733098
"A1CF",0,0,0,0,0.853661169128621,1.4330049832697,0,0
"A2M",19722.0963483046,17309.2543266944,27359.3650512623,40188.0231795645,2020.61598732744,7150.69486651581,35097.634595474,35590.4062488695
"A2M-AS1",48.1146487959634,38.0940285525025,22.1996533200019,18.0020261359056,17.0732233825724,15.7630548159667,24.0477112678822,15.920794874539
"A2ML1",0,0,1.70766564000014,0,2.56098350738586,3.58251245817425,2.18615556980747,0
"A2ML1-AS1",0,0,0,0,0,0,0,0
"A2ML1-AS2",0,0,0,0,0,0,0,0
"A2MP1",0.981931608080886,2.24082520897073,0.853832820000072,0,1.70732233825724,0,2.18615556980747,0
"A3GALT2",0,0,0,0,0.853661169128621,0.71650249163485,0,0
"A4GALT",818.930961139459,1303.03985901648,1179.1431244201,1554.17492306651,1138.78399961758,1307.6170472336,1031.86542894913,1844.68943279659
"A4GNT",2.94579482424266,6.7224756269122,10.2459938400009,7.50084422329399,0,0.71650249163485,16.396166773556,7.42970427478489
"AAAS",765.906654303091,813.419550856377,826.51016976007,790.588981135186,684.636257641154,630.522192638668,722.524415821369,731.295177903827
"AACS",391.790711624273,303.631815815535,364.586614140031,355.540016184135,340.61080648232,323.142623727318,419.741869403034,349.19610091489
"AACSP1",0,0,0,0,0,0,0,0
"AADAC",2.94579482424266,3.3612378134561,2.56149846000022,6.00067537863519,1.70732233825724,1.4330049832697,1.09307778490374,1.06138632496927
"AADACL2",0.981931608080886,1.12041260448537,0.853832820000072,0,0.853661169128621,0,1.09307778490374,1.06138632496927
"AADACL2-AS1",0,0,0,0,0,0,1.09307778490374,2.12277264993854
"AADACL3",0,0,0,0,0,0,0,0
"AADACL4",2.94579482424266,10.0837134403683,6.83066256000058,10.5011819126116,0,2.14950747490455,5.46538892451868,14.8594085495698
"AADACP1",0.981931608080886,0,0,0,0.853661169128621,0,0,1.06138632496927
"AADAT",167.910304981831,151.255701605525,121.24426044001,55.5062472523755,183.537151362653,118.939413611385,169.427056660079,96.5861555722035
"AAGAB",667.713493495002,644.237247579086,842.732993340071,763.585941931328,834.880623407791,731.549043959182,711.593637972332,597.560500957699
"AAK1",281.814371519214,263.296962054061,338.117796720029,217.524482475526,307.318020886303,345.354200967998,345.41258002958,295.065398341457
"AAMDC",87.3919131191988,131.088274724788,122.95192608001,118.513338728045,87.0734392511193,121.805423577925,86.3531450073951,149.655471820667
"AAMP",1318.73414965263,1722.07417309401,1212.4426044001,1323.14892098906,1167.80847936795,1465.9640978849,1191.45478554507,1497.61610453164
"AANAT",0,0,1.70766564000014,0,1.70732233825724,1.4330049832697,1.09307778490374,2.12277264993854
"AAR2",689.315988872782,752.917270214167,636.105450900054,750.084422329399,624.87997580215,753.760621199863,605.565092836669,747.215972778366
"AARD",0.981931608080886,2.24082520897073,0,3.00033768931759,0,1.4330049832697,0,6.36831794981562
